"Data generated on Sunday, February 7, 2021 at 8:13:36 PM EST",,,,,,,,
Area/Partners of Origin,,,,January - December,,,,
And General  Commodities Imported,,,,Values in Thousands of dollars,,,,
,,,,,,,,
,Partner,Product,2015,2016,2017,2018,2019,2020
1.76,Czech Republic,Coffee & Coffee Pdts,0,0,0,124,66,165
1.77,North Macedonia,Coffee & Coffee Pdts,77,49,55,74,111,162
1.78,Albania,Coffee & Coffee Pdts,34,16,18,28,41,154
1.79,United Arab Emirates,Coffee & Coffee Pdts,26,0,18,145,113,146
1.8,Croatia,Coffee & Coffee Pdts,222,139,154,198,147,140
1.81,Lithuania,Coffee & Coffee Pdts,14,10,72,71,54,113
1.82,Armenia,Coffee & Coffee Pdts,3,0,90,22,33,111
1.83,Belize,Coffee & Coffee Pdts,0,0,0,4,0,103
1.84,Iceland,Coffee & Coffee Pdts,0,0,0,0,12,82
1.85,Cyprus,Coffee & Coffee Pdts,24,40,66,78,118,78
1.86,Angola,Coffee & Coffee Pdts,0,42,0,77,23,77
1.87,Venezuela,Coffee & Coffee Pdts,0,0,0,5111,2845,64
1.88,New Zealand(*),Coffee & Coffee Pdts,164,31,0,0,84,61
1.89,Bulgaria,Coffee & Coffee Pdts,281,192,134,123,229,54
1.9,Guinea,Coffee & Coffee Pdts,130,66,8,10,0,40
1.91,Netherlands Antilles(*),Coffee & Coffee Pdts,0,0,0,0,305,39
1.92,Sri Lanka,Coffee & Coffee Pdts,3,0,33,49,90,39
1.93,Ukraine,Coffee & Coffee Pdts,21,23,31,31,40,39
1.94,Romania,Coffee & Coffee Pdts,33,6,35,9,38,35
1.95,Mozambique,Coffee & Coffee Pdts,0,0,0,0,3,34
1.96,Georgia,Coffee & Coffee Pdts,0,0,0,0,37,25
1.97,Congo (Brazzaville),Coffee & Coffee Pdts,390,138,0,404,159,24
1.98,Nepal,Coffee & Coffee Pdts,17,22,83,177,57,23
1.99,Morocco,Coffee & Coffee Pdts,0,0,3,0,0,22
1.1,Uruguay,Coffee & Coffee Pdts,0,0,0,0,0,20
1.101,Hong Kong,Coffee & Coffee Pdts,6,234,955,5,206,20
1.102,Afghanistan,Coffee & Coffee Pdts,0,0,0,0,0,13
1.103,"Other Pacific Islands, NEC(*)",Coffee & Coffee Pdts,0,0,0,0,0,9
1.104,Finland,Coffee & Coffee Pdts,17,17,13,10,7,7
1.105,Slovenia,Coffee & Coffee Pdts,0,5,24,2,3,3
1.106,Belarus,Coffee & Coffee Pdts,0,0,7,6,2,2
1.107,Brunei,Coffee & Coffee Pdts,12,121,0,0,0,0
1.108,Cambodia,Coffee & Coffee Pdts,0,5,5,6,0,0
1.109,Estonia,Coffee & Coffee Pdts,9,7,0,0,23,0
1.11,Falkland Islands (Islas Malvinas),Coffee & Coffee Pdts,0,0,3,0,0,0
1.111,Micronesia,Coffee & Coffee Pdts,0,3,4,0,0,0
1.112,"Gambia, The",Coffee & Coffee Pdts,19,0,0,0,0,0
1.113,Ghana,Coffee & Coffee Pdts,0,0,9,2,0,0
1.114,Greenland,Coffee & Coffee Pdts,0,0,0,0,0,0
1.115,Guyana,Coffee & Coffee Pdts,0,4,0,0,0,0
1.116,Hungary,Coffee & Coffee Pdts,0,48,15,11,0,0
1.117,Cote d'Ivoire,Coffee & Coffee Pdts,0,40,49,0,1537,0
1.118,Madagascar,Coffee & Coffee Pdts,123,42,113,0,0,0
1.119,Montenegro,Coffee & Coffee Pdts,0,0,58,0,0,0
1.12,Malta,Coffee & Coffee Pdts,0,0,0,18,0,0
1.121,Oman,Coffee & Coffee Pdts,0,0,0,0,8,0
1.122,Pakistan,Coffee & Coffee Pdts,0,0,5,0,0,0
1.123,Seychelles,Coffee & Coffee Pdts,0,0,191,0,0,0
1.124,Senegal,Coffee & Coffee Pdts,3,0,0,5,0,0
1.125,Saint Helena,Coffee & Coffee Pdts,0,0,0,0,14,0
1.126,Trinidad and Tobago,Coffee & Coffee Pdts,3,0,0,6,0,0
1.127,Namibia,Coffee & Coffee Pdts,0,66,0,0,0,0
1.128,"Africa, not elsewhere specified(*)",Coffee & Coffee Pdts,203,57,110,190,0,0
1.129,Leeward-Windward Islands(*),Coffee & Coffee Pdts,5,6,0,3,0,0
1.13,British Pacific Islands(*),Coffee & Coffee Pdts,50,0,11,3,0,0
1.131,Zimbabwe,Coffee & Coffee Pdts,107,353,260,99,0,0
,Grand Total,,6303949,5967501,6564853,5972920,6098563,6017005
"Notes:<br>
1. Data Source: U.S. Census Bureau Trade Data<br>
2. All zeroes for a data item may show that statistics exist in the other import type. Consumption or General.<br>
3. (*) denotes a country that is a summarization of its component countries.",,,,,,,,
4. Product Group : FAS(Agricultural),,,,,,,,
