"Data generated on Sunday, February 7, 2021 at 8:15:08 PM EST",,,,,,,,
Area/Partners of Origin,,,,January - December,,,,
And General  Commodities Imported,,,,Values in Thousands of dollars,,,,
,,,,,,,,
,Partner,Product,2015,2016,2017,2018,2019,2020
1.72,Costa Rica,"Tea,Excpt Herbal Tea",1816,30,14,27,34,83
1.73,Syria,"Tea,Excpt Herbal Tea",40,12,0,46,36,82
1.74,Saudi Arabia,"Tea,Excpt Herbal Tea",132,0,23,220,83,81
1.75,Austria,"Tea,Excpt Herbal Tea",20,26,56,37,47,63
1.76,Central African Republic,"Tea,Excpt Herbal Tea",0,0,0,0,132,62
1.77,Guatemala,"Tea,Excpt Herbal Tea",263,272,4,12,4,60
1.78,Lithuania,"Tea,Excpt Herbal Tea",79,149,73,25,23,55
1.79,Honduras,"Tea,Excpt Herbal Tea",0,0,46,27,0,54
1.8,Senegal,"Tea,Excpt Herbal Tea",0,3,0,5,352,51
1.81,Romania,"Tea,Excpt Herbal Tea",29,18,35,36,40,43
1.82,Switzerland(*),"Tea,Excpt Herbal Tea",84,381,18,46,36,39
1.83,Kosovo,"Tea,Excpt Herbal Tea",0,0,0,0,58,38
1.84,Hungary,"Tea,Excpt Herbal Tea",24,88,97,76,193,32
1.85,Haiti,"Tea,Excpt Herbal Tea",7,3,40,5,0,30
1.86,Azerbaijan,"Tea,Excpt Herbal Tea",13,7,0,23,15,29
1.87,Panama,"Tea,Excpt Herbal Tea",0,6,39,0,0,23
1.88,Czech Republic,"Tea,Excpt Herbal Tea",19,14,227,253,0,22
1.89,New Zealand(*),"Tea,Excpt Herbal Tea",0,4,0,14,22,22
1.9,Latvia,"Tea,Excpt Herbal Tea",0,2,54,0,0,17
1.91,Slovenia,"Tea,Excpt Herbal Tea",37,5,38,30,19,16
1.92,Guyana,"Tea,Excpt Herbal Tea",0,8,0,24,15,15
1.93,Lebanon,"Tea,Excpt Herbal Tea",53,75,22,38,55,13
1.94,Nicaragua,"Tea,Excpt Herbal Tea",0,0,139,137,5,12
1.95,Ethiopia(*),"Tea,Excpt Herbal Tea",7,32,8,21,15,8
1.96,Armenia,"Tea,Excpt Herbal Tea",8,0,0,9,3,7
1.97,Georgia,"Tea,Excpt Herbal Tea",20,0,0,2,17,7
1.98,Cameroon,"Tea,Excpt Herbal Tea",0,0,0,4,0,7
1.99,Lesotho,"Tea,Excpt Herbal Tea",0,0,54,36,0,6
1.1,Malta,"Tea,Excpt Herbal Tea",0,0,0,0,0,6
1.101,Guinea,"Tea,Excpt Herbal Tea",0,0,0,0,0,5
1.102,Ghana,"Tea,Excpt Herbal Tea",14,2,6,2,10,4
1.103,Kazakhstan,"Tea,Excpt Herbal Tea",0,0,0,0,11,4
1.104,Mali,"Tea,Excpt Herbal Tea",0,0,5,2,26,3
1.105,El Salvador,"Tea,Excpt Herbal Tea",0,20,15,12,5,2
1.106,Uganda,"Tea,Excpt Herbal Tea",4,56,0,0,0,2
1.107,Tunisia,"Tea,Excpt Herbal Tea",0,3,2,0,0,2
1.108,Afghanistan,"Tea,Excpt Herbal Tea",167,144,87,0,26,0
1.109,Belize,"Tea,Excpt Herbal Tea",0,0,0,0,16,0
1.11,Bosnia and Herzegovina,"Tea,Excpt Herbal Tea",91,47,10,11,0,0
1.111,Bolivia,"Tea,Excpt Herbal Tea",0,42,0,0,0,0
1.112,Belarus,"Tea,Excpt Herbal Tea",0,5,0,0,13,0
1.113,Cyprus,"Tea,Excpt Herbal Tea",0,0,2,0,0,0
1.114,Dominican Republic,"Tea,Excpt Herbal Tea",2,0,0,0,0,0
1.115,Estonia,"Tea,Excpt Herbal Tea",157,0,0,0,0,0
1.116,Finland,"Tea,Excpt Herbal Tea",0,0,0,0,80,0
1.117,Iran,"Tea,Excpt Herbal Tea",0,24,48,118,0,0
1.118,Cote d'Ivoire,"Tea,Excpt Herbal Tea",2,0,0,0,16,0
1.119,Kyrgyzstan,"Tea,Excpt Herbal Tea",0,93,66,0,0,0
1.12,Laos,"Tea,Excpt Herbal Tea",0,0,2,0,0,0
1.121,Madagascar,"Tea,Excpt Herbal Tea",0,103,0,0,9,0
1.122,Macau,"Tea,Excpt Herbal Tea",0,0,2,13,0,0
1.123,Moldova,"Tea,Excpt Herbal Tea",0,3,0,0,0,0
1.124,Mauritius,"Tea,Excpt Herbal Tea",0,0,10,0,0,0
1.125,Oman,"Tea,Excpt Herbal Tea",66,0,0,0,0,0
1.126,Niger,"Tea,Excpt Herbal Tea",0,96,0,0,0,0
1.127,Seychelles,"Tea,Excpt Herbal Tea",0,0,0,0,9,0
1.128,Somalia,"Tea,Excpt Herbal Tea",0,0,0,4,0,0
1.129,Sweden,"Tea,Excpt Herbal Tea",0,0,3,0,0,0
1.13,Trinidad and Tobago,"Tea,Excpt Herbal Tea",0,0,0,4,3,0
1.131,Namibia,"Tea,Excpt Herbal Tea",0,0,5,0,0,0
1.132,French Pacific Islands(*),"Tea,Excpt Herbal Tea",3,11,0,0,0,0
1.133,Zambia,"Tea,Excpt Herbal Tea",0,0,0,0,3,0
,Grand Total,,725107,759695,701284,708120,728354,730908
"Notes:<br>
1. Data Source: U.S. Census Bureau Trade Data<br>
2. All zeroes for a data item may show that statistics exist in the other import type. Consumption or General.<br>
3. (*) denotes a country that is a summarization of its component countries.",,,,,,,,
4. Product Group : FAS(Agricultural),,,,,,,,
